id,class,make,model,variant,year,transmission,fuel,price,deposit
1,A,VW,Polo,1.4 Trendline,2020,manual,petrol,7100,8000
1,A,Suzuki,Swift,1.2 Slimline,2020,manual,petrol,7100,8000
